District,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21
ND-00,-99.58171,47.38275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,6,19,26,28,28,30,36,45,51,68,94,98,109,122,142,159,173,186,207,225,237,251,269,278,293,308,331,341,365,393,393,528,585,627,644,679,709,748,803,867,942,991,1033,1067,1107,1153,1191,1225,1266,1323,1371,1425,1464,1491,1518,1571,1647,1712,1761,1848,1900,1931,1994,2095,2229,2317,2365,2418,2457,2422,2439,2481,2520,2554,2577,2625,2646,2679,2706,2745,2816,2861,2880,2901,2941,2980,3016,3058,3080,3101,3124,3166,3193,3226,3251,3288,3313,3320,3362,3393,3421,3458,3495,3539,3576,3615,3657,3722,3779,3816,3849,3898,3971,4071,4155,4243,4334,4442,4493,4565,4668,4792,4907,5019,5126,5207,5367,5493,5614,5736,5876,5986,6141,6227,6301,6469,6602,6660,6785,6933,7057,7177,7327,7508,7596,7713,7885,7970,8171,8322,8444,8587,8647,8782,8968,9242,9474,9736,9876,10000,10229,10467,10800,11110,11484,11702,11816,12000,12267,12629,12973,13334,13631,13801,13872,14110,14443,14684,15151,15577,15831,16064,16333,16723,17230,17607,17958,18244,18508,18981,19451,19885,20380,20724,20983,21401,21846,22218,22694,23134,23550,23862,24364,24857,25384,26039,26627,27264,27736,28244,28947,29653,30517,31261,31978,32637,33666,34165,35052,35939,36874,37719,38241,39130,39907,41130,42483,43916,45043,46015,47187,48301,49837,51602,53204,54305,55458,56352,57373,59173,60602,62872,63796,64885,65967,67230,68612,70016,71540,72683,73397,74401,75478,76442,77232,77935,78658,79252,79655,80135,81105,81949,82504,82981,83342,83342,86149,86707,87214,87590,87871,88067,88393,88686,89063,89554,89784,90035,90116,90451,90722,90947,91221,91354,91464,91557,91828,92203,92495,92770,92891,93041,93240,93494,93832,94156,94438,94558,94716,94829,94968,95135,95378,95599,95714,95864,95934,96071,96222,96369,96565,96720,96817,96874,97006,97160,97304,97457,97561,97629,97680,97797,97936,98034,98095,98106,98155,98184,98175,98214,98353,98466,98551,98597,98643,98781,98901,99034
OH-01,-84.45641,39.25024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,22,31,45,56,63,74,87,105,121,145,177,204,234,323,355,431,456,483,526,576,603,610,634,654,679,704,751,813,830,851,885,903,992,1060,1106,1138,1172,1222,1284,1364,1457,1519,1548,1606,1658,1706,1760,1855,1933,1963,2032,2072,2123,2179,2220,2276,2322,2365,2423,2459,2537,2589,2668,2731,2794,2832,2867,2906,2962,3008,3045,3076,3104,3129,3165,3218,3244,3279,3318,3361,3436,3484,3575,3638,3697,3767,3841,3906,4057,4193,4315,4413,4614,4712,4818,4986,5189,5369,5519,5653,5748,5981,5981,6419,6593,6763,6879,7039,7182,7314,7508,7758,7959,8064,8247,8377,8539,8757,8906,9056,9179,9292,9378,9529,9683,9819,9897,10012,10084,10183,10389,10528,10627,10710,10794,10917,10986,11085,11235,11350,11432,11492,11587,11694,11794,11915,12038,12088,12146,12240,12323,12396,12504,12593,12638,12736,12818,12900,13034,13137,13300,13388,13487,13652,13744,13911,14024,14138,14216,14281,14371,14451,14573,14716,14863,14925,15054,15163,15284,15415,15498,15591,15666,15713,15797,15891,15955,16059,16241,16287,16352,16476,16593,16726,16840,16955,17055,17127,17277,17458,17622,17825,18024,18184,18337,18513,18819,19064,19343,19641,19823,19997,20297,20631,20887,21162,21506,21798,22029,22260,22529,22823,23267,23611,23951,24252,24648,24980,25459,25966,26548,26928,27340,27913,28469,28931,29508,30751,31536,32279,32978,33499,34275,35097,35813,36377,37451,38122,38912,38912,40278,40970,41647,42484,43374,44106,44888,45765,46693,47419,48236,50496,51344,52456,53515,54637,55370,55958,56678,57235,58208,59095,59893,60642,61182,61817,62464,63201,63201,64220,64744,64984,65769,66626,67573,67573,68986,69666,70184,70999,71865,72787,73652,74509,75121,75740,76598,77308,78254,79002,79705,80267,80603,81014,81613,82528,83061,83688,84138,84574,85087,85691,86346,86837,87306,87685,88012,88498,88992,89470,89905,90338,90573,90782,91165,91476,91747,92055,92395,92575,92757,92947,93136,93373
OH-02,-83.66647,39.04729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,6,6,7,7,10,10,13,16,18,23,27,33,35,46,45,51,59,65,73,78,78,84,93,110,118,131,137,128,131,133,137,143,144,145,146,148,156,166,172,179,183,187,197,198,205,218,222,227,231,238,243,252,264,270,275,275,281,287,294,299,309,315,326,332,337,348,355,358,368,375,377,381,384,390,395,399,406,410,417,423,424,431,435,436,444,456,464,477,491,498,514,521,531,545,567,584,597,611,624,638,638,683,696,708,731,748,770,785,818,849,887,919,943,980,1010,1046,1080,1108,1145,1177,1234,1268,1314,1352,1394,1424,1479,1544,1645,1694,1732,1765,1807,1857,1902,1950,1983,2031,2067,2100,2141,2193,2228,2266,2311,2333,2373,2405,2447,2508,2551,2595,2603,2630,2670,2712,2776,2840,2876,2901,2930,2990,3040,3112,3134,3175,3208,3227,3245,3274,3312,3371,3409,3439,3485,3532,3584,3616,3651,3685,3720,3741,3781,3817,3847,3912,3954,3987,4016,4057,4091,4147,4198,4240,4273,4327,4408,4496,4572,4665,4737,4831,4905,5026,5142,5275,5371,5467,5534,5635,5753,5884,6030,6154,6277,6379,6477,6615,6750,6955,7129,7292,7385,7500,7678,7852,8051,8260,8517,8704,8892,9207,9438,9705,9990,10292,10600,10870,11238,11548,11821,12289,12681,12940,13402,13671,14006,14006,14570,14888,15151,15436,15833,16200,16669,17143,17543,17854,18168,19021,19478,19995,20513,20962,21414,21742,22143,22500,23026,23486,23907,24250,24557,24928,25270,25674,25674,26170,26485,26679,27062,27476,27971,27971,28703,29056,29335,29799,30322,30824,31441,31888,32278,32567,32905,33275,33633,33961,34307,34545,34726,34953,35339,35700,35920,36209,36454,36618,36894,37149,37451,37740,37997,38117,38323,38521,38718,38968,39160,39312,39438,39531,39724,39873,40029,40174,40343,40416,40493,40575,40653,40775
OH-04,-83.18171,40.85512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,6,6,12,16,21,30,42,50,59,72,89,103,116,124,134,145,158,180,203,224,230,256,277,300,330,362,416,456,535,677,872,1490,2362,2612,2692,2722,2771,2813,2833,2843,2869,2886,2925,2971,3075,3112,3166,3197,3218,3244,3270,3312,3342,3356,3392,3421,3448,3485,3513,3534,3596,3628,3652,3691,3726,3759,3816,3839,3862,3876,3901,3935,3970,3986,4013,4022,4045,4073,4105,4125,4142,4164,4185,4197,4210,4232,4241,4258,4272,4286,4297,4307,4328,4342,4352,4368,4383,4405,4418,4445,4468,4488,4515,4555,4585,4614,4614,4656,4680,4731,4758,4785,4815,4848,4915,4958,5031,5121,5161,5208,5264,5358,5432,5490,5572,5632,5720,5803,5879,5961,6016,6093,6176,6251,6346,6463,6519,6596,6692,6783,6863,6968,7057,7152,7230,7314,7384,7495,7605,7697,7801,7837,7917,7986,8086,8181,8219,8303,8362,8428,8490,8580,8668,8772,8843,8912,8958,9022,9070,9133,9213,9293,9342,9376,9413,9465,9531,9594,9649,9679,9734,9777,9831,9912,10000,10065,10129,10190,10227,10298,10359,10458,10547,10589,10669,10732,10788,10884,10968,11073,11134,11218,11290,11391,11522,11646,11735,11835,11967,12058,12236,12404,12537,12722,12843,12983,13106,13303,13504,13691,13942,14076,14258,14437,14641,14998,15277,15485,15762,16021,16333,16777,17134,17506,17964,18280,18721,19240,19806,20388,21192,21828,22533,23135,23637,24220,24853,25728,26274,26939,27979,28649,29667,29667,31126,31603,32107,32650,33326,33950,34672,35304,36106,36585,37375,39892,40569,41479,42157,43069,43758,44403,44917,45416,46367,47158,47826,48457,48969,49550,50031,50808,50808,51634,52020,52406,52871,53602,54466,54466,55637,56125,56611,57195,57838,58783,59569,60169,60579,61342,61794,62279,62915,63380,63924,64272,64632,65120,65610,66092,66355,66808,67127,67450,67715,68172,68579,68872,69165,69349,69592,69849,70114,70385,70605,70863,70993,71096,71309,71582,71772,72025,72199,72333,72484,72629,72725,72883
OH-05,-84.02815,41.14360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,5,7,12,20,24,26,27,32,37,45,52,59,68,81,86,97,102,114,124,131,137,150,164,172,197,213,228,232,247,273,313,345,362,368,374,398,412,430,450,464,469,489,510,522,528,563,577,581,600,608,616,642,663,677,699,723,734,750,761,777,804,818,831,842,849,857,873,900,914,926,937,950,967,977,988,994,1010,1016,1026,1045,1049,1060,1067,1072,1084,1093,1107,1119,1127,1132,1137,1150,1156,1164,1186,1200,1213,1225,1247,1267,1267,1326,1341,1356,1372,1392,1428,1449,1472,1502,1523,1557,1575,1601,1650,1709,1764,1827,1898,1955,2022,2104,2204,2280,2351,2424,2521,2568,2651,2742,2798,2833,2870,2935,3011,3067,3133,3198,3233,3276,3323,3377,3450,3496,3555,3589,3620,3671,3725,3778,3829,3885,3925,3982,4027,4101,4183,4230,4266,4312,4369,4410,4474,4546,4620,4696,4747,4816,4851,4900,4965,5019,5098,5144,5206,5259,5329,5409,5502,5578,5630,5688,5742,5795,5894,5976,6056,6158,6233,6334,6419,6513,6665,6789,6863,6949,7033,7112,7235,7355,7461,7512,7590,7678,7795,7915,8047,8218,8314,8461,8611,8761,8938,9124,9336,9453,9646,9815,9982,10240,10483,10690,10883,11097,11427,11725,12087,12425,12697,12992,13243,13681,14061,14507,15056,15497,15889,16215,16617,17034,17444,18042,18625,18904,19478,19912,20505,20505,21358,21774,22024,22373,22847,23278,23714,24211,24844,25134,25580,26653,27155,27692,28256,28717,29058,29487,29913,30315,30899,31291,31770,32120,32463,32814,33200,33692,33692,34172,34442,34624,35002,35423,35898,35898,36599,36920,37145,37561,38046,38599,38980,39425,39664,40029,40402,40708,41031,41332,41610,41786,41960,42221,42504,42782,42933,43167,43340,43518,43695,43951,44194,44423,44587,44709,44829,44949,45127,45299,45431,45547,45619,45680,45900,45974,46081,46222,46322,46371,46437,46503,46572,46663
OH-06,-81.31483,40.17254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,5,7,9,17,25,31,38,55,67,91,111,119,155,200,230,257,297,347,372,409,458,493,550,595,628,689,735,771,805,852,914,956,995,1032,1069,1110,1161,1201,1257,1289,1331,1365,1409,1462,1514,1561,1635,1681,1737,1795,1840,1903,1948,1978,2052,2081,2123,2174,2247,2304,2338,2383,2429,2457,2510,2560,2593,2617,2761,2832,2885,2934,3011,3052,3108,3205,3231,3248,3270,3298,3321,3334,3348,3360,3374,3419,3437,3456,3466,3480,3491,3500,3536,3573,3586,3619,3658,3683,3710,3784,3864,3888,4021,4049,4068,4102,4102,4271,4311,4339,4363,4392,4426,4484,4567,4639,4686,4745,4789,4828,4888,4966,5039,5080,5138,5190,5267,5308,5354,5395,5446,5505,5568,5629,5694,5765,5809,5835,5883,5944,6032,6083,6185,6277,6326,6371,6446,6528,6595,6656,6702,6731,6768,6823,6866,6956,7008,7050,7093,7146,7182,7238,7286,7332,7379,7408,7445,7501,7540,7586,7642,7676,7697,7727,7758,7792,7841,7904,7932,7963,8002,8056,8094,8123,8170,8203,8231,8283,8308,8365,8427,8485,8529,8563,8634,8710,8798,8887,8978,9047,9092,9160,9243,9339,9419,9536,9609,9682,9786,9858,9973,10142,10272,10448,10560,10674,10819,10951,11114,11255,11401,11560,11705,11819,11961,12207,12409,12624,12805,12984,13278,13550,13881,14204,14523,14789,15082,15526,15949,16392,16969,17385,17906,18338,18904,19381,20008,20757,21532,21900,22754,23398,24469,24469,25864,26347,26934,27371,28128,28927,29861,30748,31645,32217,32912,34693,35475,36491,37329,38159,38814,39386,40082,40515,41507,42132,42680,43336,43880,44469,45380,46115,46115,46907,47219,47556,48045,48859,49655,49655,50637,51071,51589,52221,52864,53550,54252,54805,55125,55732,56292,56791,57355,57904,58635,59002,59293,59701,60115,60640,60893,61343,61637,61997,62303,62776,63202,63616,63882,64055,64330,64621,64945,65274,65632,65863,65974,66203,66468,66749,67010,67243,67501,67625,67800,67976,68133,68306
OH-07,-81.67707,40.72692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,6,8,10,11,13,17,20,23,25,29,37,42,46,65,68,84,104,116,135,141,163,165,172,183,193,206,229,243,247,253,284,292,302,307,327,346,367,396,402,419,430,440,456,467,496,532,568,597,614,631,660,694,727,773,810,827,839,856,877,899,917,930,976,997,1022,1058,1087,1111,1135,1150,1169,1186,1206,1225,1239,1252,1273,1286,1304,1355,1388,1409,1426,1435,1444,1467,1487,1507,1524,1536,1553,1572,1586,1636,1658,1682,1741,1785,1821,1846,1890,1923,1970,2005,2050,2089,2123,2123,2220,2269,2312,2367,2402,2459,2494,2549,2579,2607,2656,2700,2753,2817,2873,2925,2962,3011,3046,3079,3151,3214,3271,3293,3323,3373,3421,3470,3531,3560,3596,3623,3672,3734,3758,3804,3854,3875,3910,3971,4008,4049,4076,4144,4162,4187,4221,4244,4275,4332,4378,4392,4411,4446,4480,4526,4565,4595,4612,4642,4685,4707,4748,4777,4817,4832,4848,4860,4877,4908,4948,4997,5018,5071,5106,5141,5187,5226,5254,5276,5310,5332,5371,5423,5450,5493,5522,5572,5632,5687,5742,5830,5891,5925,5984,6077,6133,6217,6292,6355,6416,6489,6580,6677,6768,6852,6956,7018,7092,7234,7372,7515,7638,7824,7945,8080,8290,8400,8655,8861,9097,9246,9446,9665,9890,10140,10449,10714,10941,11205,11592,11915,12293,12797,13141,13528,13909,14477,14959,15396,15959,16376,16838,17622,18133,18825,18825,19964,20403,21046,21387,21906,22328,22856,23603,24325,24848,25489,27182,27768,28596,29267,30007,30534,31053,31668,31904,32835,33500,34118,34665,35106,35524,35927,36496,36496,37151,37465,37710,38116,38525,39231,39231,39994,40360,40671,41130,41572,42261,42923,43468,43828,44281,44759,45153,45647,46103,46580,46898,47147,47399,47731,48125,48404,48739,48974,49251,49489,49792,50117,50399,50615,50750,50957,51179,51384,51585,51793,52002,52101,52214,52343,52510,52665,52850,52997,53095,53205,53312,53401,53525
OH-08,-84.38275,39.69116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,7,9,11,16,29,32,36,40,40,44,58,66,80,95,108,130,137,151,167,189,212,245,268,281,289,302,314,327,336,351,373,385,395,397,418,428,441,451,471,483,493,513,538,553,580,598,627,642,652,663,682,697,769,882,925,1007,1032,1060,1104,1145,1182,1209,1241,1282,1338,1386,1431,1468,1512,1556,1579,1595,1628,1671,1708,1742,1775,1798,1824,1855,1894,1924,1960,1991,2020,2043,2072,2108,2131,2150,2182,2234,2291,2387,2445,2510,2532,2578,2625,2656,2702,2740,2783,2815,2840,2867,2931,2931,3042,3086,3125,3155,3212,3262,3325,3398,3473,3539,3588,3651,3710,3766,3859,3906,3955,4000,4070,4165,4234,4339,4416,4465,4543,4604,4694,4827,4890,4956,5007,5056,5129,5193,5284,5378,5459,5512,5561,5625,5740,5813,5905,6018,6067,6135,6214,6303,6398,6474,6562,6626,6686,6763,6869,6997,7149,7277,7394,7478,7629,7837,8052,8253,8377,8458,8519,8570,8696,8850,9021,9162,9244,9356,9446,9543,9648,9705,9811,9885,9980,10056,10134,10236,10387,10491,10548,10638,10738,10883,11062,11239,11378,11481,11565,11731,11903,12097,12285,12416,12552,12700,12826,13007,13242,13430,13604,13744,13907,14104,14305,14537,14749,15008,15202,15357,15534,15820,16072,16446,16688,16985,17231,17544,17801,18220,18584,19059,19342,19707,20127,20475,20983,21547,22187,22728,23253,23769,24145,24785,25422,26031,26507,27300,27902,28682,28682,29854,30390,30939,31503,32043,32608,33252,34036,34790,35327,35926,37262,37901,38635,39427,40173,40728,41208,41854,42116,42899,43497,44006,44502,44832,45288,45657,46239,46239,46957,47314,47557,48013,48569,49150,49150,50089,50508,50792,51235,51708,52294,52915,53447,53840,54262,54843,55224,55676,56089,56531,56884,57121,57359,57717,58260,58584,58991,59257,59531,59796,60129,60440,60809,61108,61367,61568,61818,62058,62320,62603,62911,63071,63180,63413,63656,63853,64083,64265,64386,64524,64640,64734,64905
OH-09,-83.45865,41.57658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,5,8,11,14,25,38,51,73,100,121,140,180,216,245,283,315,336,362,387,421,462,510,523,537,565,624,680,726,778,849,889,922,954,1013,1064,1117,1188,1216,1256,1299,1345,1393,1429,1474,1529,1589,1642,1702,1788,1835,1883,1936,1970,1996,2025,2066,2107,2127,2173,2187,2209,2253,2270,2311,2352,2374,2403,2419,2436,2464,2511,2538,2555,2563,2580,2602,2620,2633,2646,2653,2675,2692,2696,2716,2744,2755,2788,2793,2795,2801,2812,2818,2826,2851,2856,2869,2879,2887,2901,2919,2937,2957,2987,2987,3042,3079,3108,3145,3184,3246,3280,3322,3396,3486,3597,3637,3714,3778,3879,3999,4113,4211,4280,4409,4541,4635,4742,4823,4911,5083,5199,5344,5498,5615,5720,5827,5931,6025,6079,6142,6235,6309,6359,6441,6526,6568,6643,6714,6747,6794,6863,6944,7018,7106,7169,7209,7262,7305,7388,7457,7498,7559,7609,7647,7700,7754,7822,7879,7927,7955,7995,8019,8039,8071,8104,8156,8182,8212,8268,8313,8352,8395,8451,8483,8516,8565,8597,8631,8683,8714,8737,8773,8809,8840,8887,8931,8972,8997,9047,9097,9133,9178,9249,9285,9318,9363,9410,9491,9564,9619,9695,9731,9817,9881,9942,10024,10122,10232,10282,10353,10457,10522,10663,10806,10902,11025,11125,11347,11509,11748,11988,12172,12361,12551,12842,13026,13354,13795,14020,14400,14810,15058,15238,15463,16070,16370,16648,17393,17770,18113,18113,18997,19422,19700,20014,20402,20782,21126,21474,22036,22290,22681,23939,24553,25097,25707,26250,26740,27202,27535,27791,28414,28798,29154,29414,29722,29987,30392,30831,30831,31540,31734,31961,32269,32644,33057,33057,33724,33950,34244,34569,34979,35489,35947,36279,36665,37097,37376,37640,37979,38302,38652,38818,39089,39339,39652,40023,40165,40441,40637,40849,41021,41238,41461,41725,41960,42087,42243,42373,42541,42724,42852,42995,43086,43157,43267,43389,43507,43648,43751,43834,43883,43950,44015,44100
OH-10,-84.17000,39.73240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,8,13,18,18,23,24,29,35,44,50,58,67,82,99,126,154,172,182,188,206,235,241,248,254,258,267,281,283,287,289,293,303,304,310,316,321,326,340,346,355,376,384,389,399,403,420,431,449,475,508,523,533,561,590,605,610,630,640,656,673,681,704,720,735,740,752,777,792,797,804,827,830,837,866,881,916,944,974,998,1012,1047,1077,1111,1149,1180,1222,1253,1319,1377,1424,1477,1512,1567,1620,1697,1761,1791,1842,1893,1958,2052,2052,2208,2225,2278,2338,2456,2536,2634,2755,2838,2914,3002,3085,3167,3246,3358,3452,3507,3551,3632,3767,3854,3944,4060,4114,4192,4294,4410,4524,4624,4678,4737,4780,4829,4862,4939,5001,5114,5165,5216,5277,5343,5412,5511,5553,5622,5656,5688,5746,5842,5928,6014,6069,6138,6215,6312,6415,6570,6727,6886,6952,7276,7423,7542,7705,7851,7931,7968,8011,8088,8183,8356,8442,8519,8591,8681,8784,8845,8938,9006,9078,9133,9185,9247,9315,9429,9493,9580,9661,9763,9843,9965,10097,10206,10323,10398,10516,10612,10830,11003,11131,11252,11325,11439,11639,11860,12119,12256,12409,12568,12711,12904,13118,13343,13539,13780,13919,14106,14346,14633,14973,15146,15491,15740,16055,16344,16724,17068,17528,17900,18251,18691,19110,19663,20305,20869,21287,21939,22390,22777,23205,23726,24228,24844,25633,26191,26825,26825,27923,28363,29011,29453,29980,30478,31148,31831,32566,33112,33634,34819,35299,36070,36883,37531,38068,38598,39424,39669,40394,41140,41726,42195,42538,43123,43548,44031,44031,44687,45088,45455,45962,46558,47106,47106,48151,48635,49043,49598,50046,50824,51509,51991,52376,52722,53490,53905,54385,54833,55222,55586,55835,56054,56470,56919,57189,57527,57796,58085,58298,58595,58883,59170,59419,59628,59779,59990,60171,60435,60626,60892,61056,61165,61338,61526,61673,61849,62027,62136,62251,62361,62427,62543
